,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
183762,92359,Pier-Francesco Pavoni,M,25.0,182.0,70.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
184131,92542,Fabio Pecchia,M,22.0,172.0,70.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
184134,92544,Stefano Pecci,M,21.0,184.0,74.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Modern Pentathlon,Modern Pentathlon Men's Individual,
184221,92584,Rocco Pecoraro,M,22.0,185.0,88.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,
184422,92682,Carlo Pedersoli,M,22.0,194.0,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,
184423,92682,Carlo Pedersoli,M,22.0,194.0,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
184424,92682,Carlo Pedersoli,M,27.0,194.0,,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 100 metres Freestyle,
184429,92686,Vincenzo Pedicone,M,24.0,170.0,74.0,Italy,ITA,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middleweight,
184431,92688,Aldo Antonio Pedrana,M,21.0,,,Italy,ITA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Nordic Combined,Nordic Combined Men's Individual,
184432,92689,Fabrizio Pedranzini,M,21.0,,,Italy,ITA,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
184437,92693,Rubens Pedrazzi,M,,,,Italy,ITA,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",
184444,92696,Mario Pedretti,M,24.0,186.0,90.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
184445,92697,Mario Paolo Pedretti,M,26.0,170.0,,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
184455,92703,Italo Pedroncelli,M,20.0,170.0,67.0,Italy,ITA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Slalom,
184456,92703,Italo Pedroncelli,M,24.0,170.0,67.0,Italy,ITA,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Downhill,
184457,92703,Italo Pedroncelli,M,24.0,170.0,67.0,Italy,ITA,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
184458,92703,Italo Pedroncelli,M,24.0,170.0,67.0,Italy,ITA,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Slalom,
184459,92703,Italo Pedroncelli,M,28.0,170.0,67.0,Italy,ITA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
184460,92703,Italo Pedroncelli,M,28.0,170.0,67.0,Italy,ITA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,
184461,92704,Angelo Paolo Pedroni,M,21.0,175.0,71.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
184462,92705,Silvio Pedroni,M,30.0,,,Italy,ITA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Road Race, Individual",
184463,92705,Silvio Pedroni,M,30.0,,,Italy,ITA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Road Race, Team",
184476,92714,Yadisleidy Pedroso Gonzlez,F,29.0,168.0,50.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,
184531,92746,Franca Peggion,F,22.0,,,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 100 metres,
184532,92747,Mattia Pegorari,M,22.0,168.0,65.0,Italy,ITA,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Men's Moguls,
184533,92748,Andrea Pegoraro,M,25.0,186.0,74.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,
184648,92806,Adelchi Pelaschiar,M,30.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Sailing,Sailing Mixed One Person Dinghy,
184649,92806,Adelchi Pelaschiar,M,35.0,,,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Sailing,Sailing Mixed One Person Dinghy,
184650,92807,Annibale Pelaschiar,M,44.0,174.0,102.0,Aretusa,ITA,1956 Summer,1956,Summer,Melbourne,Sailing,Sailing Mixed Three Person Keelboat,
184651,92807,Annibale Pelaschiar,M,52.0,174.0,102.0,Argeste,ITA,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,
184652,92808,Mauro Pelaschiar,M,23.0,187.0,75.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed One Person Dinghy,
184653,92808,Mauro Pelaschiar,M,27.0,187.0,75.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed One Person Dinghy,
184690,92834,Roberto Glauco Italo Pelizzola,M,25.0,171.0,61.0,Italy,ITA,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,
184691,92834,Roberto Glauco Italo Pelizzola,M,29.0,171.0,61.0,Italy,ITA,1988 Winter,1988,Winter,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,
184692,92835,Ivan Pelizzoli,M,23.0,197.0,89.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Bronze
184702,92844,Giusto Pellanera,M,26.0,186.0,80.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
184703,92844,Giusto Pellanera,M,30.0,186.0,80.0,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,
184705,92846,Valentino Pellarini,M,28.0,,,Italy,ITA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,
184709,92848,Anik Pelle,F,33.0,186.0,72.0,Italy,ITA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,
184736,92851,Mattia Pellegrin,M,24.0,180.0,72.0,Italy,ITA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
184738,92853,Carlo Giovanni Battista Pellegrini,M,45.0,,,Italy,ITA,1912 Summer,1912,Summer,Stockholm,Art Competitions,Art Competitions Mixed Painting,Gold
184739,92854,Federica Pellegrini,F,16.0,177.0,65.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Freestyle,
184740,92854,Federica Pellegrini,F,16.0,177.0,65.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,Silver
184741,92854,Federica Pellegrini,F,16.0,177.0,65.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
184742,92854,Federica Pellegrini,F,16.0,177.0,65.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
184743,92854,Federica Pellegrini,F,20.0,177.0,65.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Freestyle,Gold
184744,92854,Federica Pellegrini,F,20.0,177.0,65.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,
184745,92854,Federica Pellegrini,F,20.0,177.0,65.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
184746,92854,Federica Pellegrini,F,20.0,177.0,65.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
184747,92854,Federica Pellegrini,F,20.0,177.0,65.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
184748,92854,Federica Pellegrini,F,23.0,177.0,65.0,Italy,ITA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,
184749,92854,Federica Pellegrini,F,23.0,177.0,65.0,Italy,ITA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,
184750,92854,Federica Pellegrini,F,23.0,177.0,65.0,Italy,ITA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
184751,92854,Federica Pellegrini,F,23.0,177.0,65.0,Italy,ITA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
184752,92854,Federica Pellegrini,F,23.0,177.0,65.0,Italy,ITA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
184753,92854,Federica Pellegrini,F,27.0,177.0,65.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,
184754,92854,Federica Pellegrini,F,27.0,177.0,65.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
184755,92854,Federica Pellegrini,F,27.0,177.0,65.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
184756,92854,Federica Pellegrini,F,27.0,177.0,65.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
184758,92856,Luca Pellegrini,M,25.0,179.0,71.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,
184759,92857,Luca Pellegrini Quarantotti,M,24.0,180.0,77.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Swimming,"Swimming Men's 1,500 metres Freestyle",
184760,92858,Alberto Pellegrino,M,26.0,177.0,74.0,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Team",Gold
184761,92858,Alberto Pellegrino,M,30.0,177.0,74.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Individual",
184762,92858,Alberto Pellegrino,M,30.0,177.0,74.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Team",Silver
184763,92858,Alberto Pellegrino,M,30.0,177.0,74.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Individual",
184764,92858,Alberto Pellegrino,M,30.0,177.0,74.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team",Gold
184765,92858,Alberto Pellegrino,M,34.0,177.0,74.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Individual",
184766,92858,Alberto Pellegrino,M,34.0,177.0,74.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",Silver
