,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
73358,37280,Anna-Lena Katarina Fritzon,F,22.0,169.0,60.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres,
73359,37280,Anna-Lena Katarina Fritzon,F,22.0,169.0,60.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
73360,37280,Anna-Lena Katarina Fritzon,F,28.0,169.0,60.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
73361,37280,Anna-Lena Katarina Fritzon,F,28.0,169.0,60.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
73362,37280,Anna-Lena Katarina Fritzon,F,28.0,169.0,60.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
73363,37280,Anna-Lena Katarina Fritzon,F,28.0,169.0,60.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
73377,37288,Bengt Axel Eugn Frbom,M,25.0,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
73394,37301,Lars Arne Frlander,M,18.0,184.0,83.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
73395,37301,Lars Arne Frlander,M,22.0,184.0,83.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,
73396,37301,Lars Arne Frlander,M,22.0,184.0,83.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
73397,37301,Lars Arne Frlander,M,22.0,184.0,83.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
73398,37301,Lars Arne Frlander,M,22.0,184.0,83.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,
